Module;Name;
k_ary_n_mesh.host[25];Latengy:max;0.00110415
k_ary_n_mesh.host[25];Throughput:count;1
k_ary_n_mesh.host[25];Throughput:mean;625804
k_ary_n_mesh.host[25];Throughput:stddev;NaN
k_ary_n_mesh.host[25];Throughput:sum;625804
k_ary_n_mesh.host[25];Throughput:sqrsum;3.92E+11
k_ary_n_mesh.host[25];Throughput:min;625804
k_ary_n_mesh.host[25];Throughput:max;625804
k_ary_n_mesh.host[26];Latengy:count;955
k_ary_n_mesh.host[26];Latengy:mean;0.000171719
k_ary_n_mesh.host[26];Latengy:stddev;0.000180452
k_ary_n_mesh.host[26];Latengy:sum;0.163992
k_ary_n_mesh.host[26];Latengy:sqrsum;5.92E-05
k_ary_n_mesh.host[26];Latengy:min;1.22E-07
k_ary_n_mesh.host[26];Latengy:max;0.00114649
k_ary_n_mesh.host[26];Throughput:count;1
k_ary_n_mesh.host[26];Throughput:mean;611712
k_ary_n_mesh.host[26];Throughput:stddev;NaN
k_ary_n_mesh.host[26];Throughput:sum;611712
k_ary_n_mesh.host[26];Throughput:sqrsum;3.74E+11
k_ary_n_mesh.host[26];Throughput:min;611712
k_ary_n_mesh.host[26];Throughput:max;611712
k_ary_n_mesh.host[27];Latengy:count;1033
k_ary_n_mesh.host[27];Latengy:mean;0.000171945
k_ary_n_mesh.host[27];Latengy:stddev;0.000180572
k_ary_n_mesh.host[27];Latengy:sum;0.17762
k_ary_n_mesh.host[27];Latengy:sqrsum;6.42E-05
k_ary_n_mesh.host[27];Latengy:min;1.33E-07
k_ary_n_mesh.host[27];Latengy:max;0.0010861
k_ary_n_mesh.host[27];Throughput:count;1
k_ary_n_mesh.host[27];Throughput:mean;661674
k_ary_n_mesh.host[27];Throughput:stddev;NaN
k_ary_n_mesh.host[27];Throughput:sum;661674
k_ary_n_mesh.host[27];Throughput:sqrsum;4.38E+11
k_ary_n_mesh.host[27];Throughput:min;661674
k_ary_n_mesh.host[27];Throughput:max;661674
k_ary_n_mesh.host[28];Latengy:count;1025
k_ary_n_mesh.host[28];Latengy:mean;0.000169218
k_ary_n_mesh.host[28];Latengy:stddev;0.000187382
k_ary_n_mesh.host[28];Latengy:sum;0.173449
k_ary_n_mesh.host[28];Latengy:sqrsum;6.53E-05
k_ary_n_mesh.host[28];Latengy:min;1.48E-07
k_ary_n_mesh.host[28];Latengy:max;0.00126658
k_ary_n_mesh.host[28];Throughput:count;1
k_ary_n_mesh.host[28];Throughput:mean;656550
k_ary_n_mesh.host[28];Throughput:stddev;NaN
k_ary_n_mesh.host[28];Throughput:sum;656550
